what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1269096789315
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096790865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096791743
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1269096791778
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096812865
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269096815241
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096815967
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096817940
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096821784
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096823790
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096824855
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096828137
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096834930
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096836169
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096846290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096851794
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096867952
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096891744
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096892013
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096893043
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096894763
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269096915518
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096923102
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096923275
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096923562
