what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v200908270924,"org.eclipse.jst.jee.ui",1269094544863
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1269094544933
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1269094545122
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094546589
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1269094547380
started,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1269094547645
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1269094548680
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1269094548741
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1269094548757
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1269094548786
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094548997
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269094549389
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094553986
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094555330
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094587175
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094589579
started,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1269094603501
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1269094603536
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1269094603581
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094606610
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1269094611912
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094611989
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094612881
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1269094613685
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1269094613872
