what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096680095
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096684193
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096685115
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096707179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096715463
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096716131
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096716560
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096719733
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096727740
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096728260
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096730063
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096732672
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096733296
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096733806
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096734160
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096734489
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096748478
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096761803
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096762081
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096765333
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269096768213
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096780579
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096780954
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096783268
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096789284
