what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095307942
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095308200
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095310253
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095310502
started,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1269095311193
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095311694
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095312373
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095312749
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095320981
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095322485
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269095325018
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269095325308
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095325717
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095329040
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1269095332125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095332663
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095333634
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269095334952
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269095338233
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1269095340631
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269095341877
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269095342270
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095343655
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095384176
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095384934
