what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094940841
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094945645
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269094946945
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094947259
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094948577
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269094949906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094950254
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094952289
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094965264
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095164094
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095165105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095177469
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1269095179130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095183488
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095190347
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095192073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095192958
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095199940
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095199954
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.views.showView",1269095199955
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095206858
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095225217
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095226343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095226855
started,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1269095228674
