what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269094878562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094880370
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094882223
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094883005
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094884003
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094886952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094894186
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269094908072
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269094910457
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094911588
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094912183
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094913677
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094918879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094919392
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094919592
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269094920024
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269094923091
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094923322
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094927724
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094930125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094931198
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094932145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094933254
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094936524
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094939910
