what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094784435
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1269094789935
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1269094789962
opened,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1269094789979
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1269094789988
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269094794645
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1269094795292
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094803023
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269094806009
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269094806192
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1269094806255
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269094806255
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806409
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806410
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806410
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806411
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806411
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806412
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806413
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806413
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806414
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806414
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806415
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806415
error,log,,,"Unable to get nature of project 'SpiderWebApp'.",1269094806416
