what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096584741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096585830
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096587971
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096588898
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096591425
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096592189
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096600537
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096601122
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096601833
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096602790
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096604215
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096605776
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096626482
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096627514
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096636441
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096636703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096637078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269096645106
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096655695
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096657410
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269096667430
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269096675672
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096676021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096677154
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096677664
