what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095255185
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095255484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095256543
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095260367
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095263483
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095269718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095271552
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095280407
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095292832
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095292869
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095292922
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269095292939
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095294067
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1269095294258
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269095294569
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269095295257
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1269095296295
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1269095296384
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269095297635
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1269095298759
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1269095298801
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1269095298865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095299368
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095300426
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269095303500
