what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269096063689
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1269096065609
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269096065832
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096068169
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269096071916
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269096089246
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269096095866
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096096852
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269096097559
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096099290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096103369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096104427
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096106426
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096107022
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269096111514
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096112978
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096116536
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096117635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096122682
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096122994
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096123355
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096124710
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096124985
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096125366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269096153841
