what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269095800853
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095803078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095856588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095860446
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095860754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095863331
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095881803
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269095885615
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1269095889971
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095890883
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095891118
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095891499
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269095894195
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1269095897520
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1269095897522
started,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1269095897544
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269095898062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900069
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900183
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900315
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900451
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900571
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269095900906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269095903452
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269095907770
